shipment_id,origin,destination,distance_km,carrier,mode,order_date,expected_delivery_date,delivered_date,weather_severity,traffic_condition
SHP100000,Hyderabad,Bangalore,992,EcomExpress,Air,2024-08-16,2024-08-19,2024-08-19,1,1
SHP100001,Kolkata,Hyderabad,543,FedEx,Rail,2024-06-21,2024-06-27,2024-06-28,2,5
SHP100002,Pune,Chennai,1230,EcomExpress,Air,2024-04-25,2024-04-27,2024-04-27,0,5
SHP100003,Chennai,Delhi,1708,DHL,Air,2024-05-05,2024-05-07,2024-05-09,3,2
SHP100004,Chennai,Pune,2099,FedEx,Air,2024-01-16,2024-01-17,2024-01-19,0,4
SHP100005,Kolkata,Ahmedabad,851,BlueDart,Rail,2024-10-16,2024-10-23,2024-10-23,0,3
SHP100006,Kolkata,Chennai,2137,DHL,Truck,2024-02-28,2024-02-29,2024-02-29,1,5
SHP100007,Kolkata,Hyderabad,1655,Delhivery,Air,2024-07-23,2024-07-28,2024-07-29,0,3
SHP100008,Delhi,Ahmedabad,1097,DHL,Truck,2024-01-21,2024-01-27,2024-01-27,1,4
SHP100009,Bangalore,Hyderabad,1573,Delhivery,Air,2024-09-14,2024-09-19,2024-09-19,2,3
SHP100010,Chennai,Hyderabad,2367,FedEx,Rail,2024-04-13,2024-04-17,2024-04-19,2,1
SHP100011,Delhi,Chennai,1014,Delhivery,Air,2024-06-10,2024-06-12,2024-06-12,2,3
SHP100012,Mumbai,Delhi,1452,FedEx,Air,2024-05-15,2024-05-17,2024-05-17,2,3
SHP100013,Hyderabad,Kolkata,529,Delhivery,Truck,2024-04-18,2024-04-23,2024-04-23,3,3
SHP100014,Hyderabad,Chennai,171,DHL,Truck,2024-03-31,2024-04-02,2024-04-03,2,3
SHP100015,Pune,Delhi,842,DHL,Truck,2024-07-09,2024-07-12,2024-07-14,3,3
SHP100016,Kolkata,Hyderabad,651,DHL,Rail,2024-08-22,2024-08-24,2024-08-24,1,3
SHP100017,Ahmedabad,Chennai,2184,BlueDart,Air,2024-01-21,2024-01-27,2024-01-28,1,5
SHP100018,Ahmedabad,Chennai,686,Delhivery,Truck,2024-01-25,2024-01-29,2024-01-29,1,2
SHP100019,Hyderabad,Delhi,1008,BlueDart,Rail,2024-05-21,2024-05-23,2024-05-23,1,1
SHP100020,Bangalore,Mumbai,1006,DHL,Rail,2024-08-16,2024-08-23,2024-08-25,3,3
SHP100021,Pune,Ahmedabad,1476,DHL,Rail,2024-01-30,2024-02-02,2024-02-02,1,3
SHP100022,Mumbai,Hyderabad,643,Delhivery,Air,2024-04-16,2024-04-20,2024-04-22,0,1
SHP100023,Pune,Mumbai,1969,BlueDart,Air,2024-04-03,2024-04-08,2024-04-08,3,3
SHP100024,Chennai,Ahmedabad,1489,Delhivery,Rail,2024-04-07,2024-04-13,2024-04-13,1,4
SHP100025,Pune,Kolkata,450,Delhivery,Truck,2024-06-27,2024-06-29,2024-06-29,3,5
SHP100026,Hyderabad,Kolkata,2392,BlueDart,Rail,2024-09-01,2024-09-06,2024-09-07,3,1
SHP100027,Chennai,Hyderabad,1776,EcomExpress,Rail,2024-06-18,2024-06-23,2024-06-26,2,2
SHP100028,Kolkata,Pune,2192,BlueDart,Rail,2024-06-30,2024-07-07,2024-07-09,2,3
SHP100029,Kolkata,Hyderabad,2418,DHL,Air,2024-07-10,2024-07-12,2024-07-12,0,2
SHP100030,Kolkata,Ahmedabad,1048,BlueDart,Air,2024-09-30,2024-10-02,2024-10-02,1,4
SHP100031,Delhi,Ahmedabad,2206,EcomExpress,Truck,2024-09-06,2024-09-07,2024-09-07,3,3
SHP100032,Delhi,Mumbai,1743,BlueDart,Rail,2024-08-22,2024-08-26,2024-08-26,3,3
SHP100033,Bangalore,Chennai,646,BlueDart,Air,2024-05-31,2024-06-01,2024-06-01,2,2
SHP100034,Mumbai,Chennai,1252,FedEx,Truck,2024-02-10,2024-02-16,2024-02-16,2,1
SHP100035,Bangalore,Pune,1618,FedEx,Truck,2024-03-18,2024-03-22,2024-03-22,0,4
SHP100036,Hyderabad,Bangalore,2283,FedEx,Truck,2024-06-03,2024-06-09,2024-06-09,2,3
SHP100037,Ahmedabad,Hyderabad,1300,EcomExpress,Rail,2024-05-09,2024-05-14,2024-05-14,1,3
SHP100038,Ahmedabad,Hyderabad,123,FedEx,Rail,2024-08-03,2024-08-09,2024-08-09,1,3
SHP100039,Delhi,Ahmedabad,1837,FedEx,Truck,2024-08-18,2024-08-21,2024-08-22,2,2
SHP100040,Delhi,Ahmedabad,993,FedEx,Air,2024-04-27,2024-05-02,2024-05-02,0,1
SHP100041,Pune,Hyderabad,109,DHL,Truck,2024-07-06,2024-07-07,2024-07-10,0,3
